symbol,section,state,boundary_status,resolution,count,total_symbol_snapshots,pct_of_symbol_snapshots,from_state,to_state,candidate_family,candidate_subtype,candidate_eligibility,unique_candidate_count,unique_opportunity_count,candidate_record_count
COFORGE,BOUNDARY_TRANSITION_COUNT,,,,5,125,,ACCEPTANCE_BUILDING,ACCEPTED,,,,,,
COFORGE,BOUNDARY_TRANSITION_COUNT,,,,1,125,,ACCEPTANCE_BUILDING,FAILURE_BUILDING,,,,,,
COFORGE,BOUNDARY_TRANSITION_COUNT,,,,4,125,,ACCEPTED,ACCEPTED,,,,,,
COFORGE,BOUNDARY_TRANSITION_COUNT,,,,1,125,,ACCEPTED,OUTSIDE_ATTEMPT,,,,,,
COFORGE,BOUNDARY_TRANSITION_COUNT,,,,2,125,,APPROACHING,OUTSIDE_ATTEMPT,,,,,,
COFORGE,BOUNDARY_TRANSITION_COUNT,,,,2,125,,FAILED,FAILED,,,,,,
COFORGE,BOUNDARY_TRANSITION_COUNT,,,,1,125,,FAILED,OUTSIDE_ATTEMPT,,,,,,
COFORGE,BOUNDARY_TRANSITION_COUNT,,,,2,125,,FAILURE_BUILDING,FAILED,,,,,,
COFORGE,BOUNDARY_TRANSITION_COUNT,,,,2,125,,NONE,APPROACHING,,,,,,
COFORGE,BOUNDARY_TRANSITION_COUNT,,,,3,125,,NONE,OUTSIDE_ATTEMPT,,,,,,
COFORGE,BOUNDARY_TRANSITION_COUNT,,,,6,125,,OUTSIDE_ATTEMPT,ACCEPTANCE_BUILDING,,,,,,
COFORGE,BOUNDARY_TRANSITION_COUNT,,,,1,125,,OUTSIDE_ATTEMPT,FAILURE_BUILDING,,,,,,
COFORGE,CANDIDATE_OBSERVATION_COUNT,,,,1,125,0.8,,,ACCEPTED_BREAKOUT,CONTINUATION_ACCEPTANCE,ELIGIBLE,1,,
COFORGE,CANDIDATE_OBSERVATION_COUNT,,,,1,125,0.8,,,ACCEPTED_BREAKOUT,CONTINUATION_ACCEPTANCE,INELIGIBLE,1,,
COFORGE,CANDIDATE_OBSERVATION_COUNT,,,,3,125,2.4,,,ACCEPTED_BREAKOUT,FRESH_ACCEPTANCE,INELIGIBLE,3,,
COFORGE,CANDIDATE_OBSERVATION_COUNT,,,,2,125,1.6,,,BREAKOUT_INITIATION,CONTINUATION_INITIATION,EXPIRED,2,,
COFORGE,CANDIDATE_OBSERVATION_COUNT,,,,6,125,4.8,,,BREAKOUT_INITIATION,CONTINUATION_INITIATION,WATCH,2,,
COFORGE,CANDIDATE_OBSERVATION_COUNT,,,,3,125,2.4,,,BREAKOUT_INITIATION,FRESH_EXPANSION_INITIATION,EXPIRED,3,,
COFORGE,CANDIDATE_OBSERVATION_COUNT,,,,2,125,1.6,,,BREAKOUT_INITIATION,FRESH_EXPANSION_INITIATION,INELIGIBLE,2,,
COFORGE,CANDIDATE_OBSERVATION_COUNT,,,,12,125,9.6,,,BREAKOUT_INITIATION,FRESH_EXPANSION_INITIATION,WATCH,5,,
COFORGE,CANDIDATE_OBSERVATION_COUNT,,,,1,125,0.8,,,CONTINUATION,BOUNDARY_CONTINUATION_ACCEPTANCE,ELIGIBLE,1,,
COFORGE,CANDIDATE_OBSERVATION_COUNT,,,,4,125,3.2,,,CONTINUATION,BOUNDARY_CONTINUATION_ACCEPTANCE,INELIGIBLE,4,,
COFORGE,CANDIDATE_OBSERVATION_COUNT,,,,1,125,0.8,,,FAILED_BREAKOUT,COUNTERTREND_FAILED_AUCTION,INELIGIBLE,1,,
COFORGE,CANDIDATE_OBSERVATION_COUNT,,,,2,125,1.6,,,FAILED_BREAKOUT,COUNTERTREND_FAILED_AUCTION,WATCH,1,,
COFORGE,CANDIDATE_OBSERVATION_COUNT,,,,1,125,0.8,,,FAILED_BREAKOUT,TREND_ALIGNED_FAILED_AUCTION,INELIGIBLE,1,,
COFORGE,CANDIDATE_OBSERVATION_COUNT,,,,5,125,4.0,,,FAILED_BREAKOUT,TREND_ALIGNED_FAILED_AUCTION,WATCH,1,,
__ALL__,CANDIDATE_OBSERVATION_COUNT,,,,1,125,0.8,,,ACCEPTED_BREAKOUT,CONTINUATION_ACCEPTANCE,ELIGIBLE,1,,
__ALL__,CANDIDATE_OBSERVATION_COUNT,,,,1,125,0.8,,,ACCEPTED_BREAKOUT,CONTINUATION_ACCEPTANCE,INELIGIBLE,1,,
__ALL__,CANDIDATE_OBSERVATION_COUNT,,,,3,125,2.4,,,ACCEPTED_BREAKOUT,FRESH_ACCEPTANCE,INELIGIBLE,3,,
__ALL__,CANDIDATE_OBSERVATION_COUNT,,,,2,125,1.6,,,BREAKOUT_INITIATION,CONTINUATION_INITIATION,EXPIRED,2,,
__ALL__,CANDIDATE_OBSERVATION_COUNT,,,,6,125,4.8,,,BREAKOUT_INITIATION,CONTINUATION_INITIATION,WATCH,2,,
__ALL__,CANDIDATE_OBSERVATION_COUNT,,,,3,125,2.4,,,BREAKOUT_INITIATION,FRESH_EXPANSION_INITIATION,EXPIRED,3,,
__ALL__,CANDIDATE_OBSERVATION_COUNT,,,,2,125,1.6,,,BREAKOUT_INITIATION,FRESH_EXPANSION_INITIATION,INELIGIBLE,2,,
__ALL__,CANDIDATE_OBSERVATION_COUNT,,,,12,125,9.6,,,BREAKOUT_INITIATION,FRESH_EXPANSION_INITIATION,WATCH,5,,
__ALL__,CANDIDATE_OBSERVATION_COUNT,,,,1,125,0.8,,,CONTINUATION,BOUNDARY_CONTINUATION_ACCEPTANCE,ELIGIBLE,1,,
__ALL__,CANDIDATE_OBSERVATION_COUNT,,,,4,125,3.2,,,CONTINUATION,BOUNDARY_CONTINUATION_ACCEPTANCE,INELIGIBLE,4,,
__ALL__,CANDIDATE_OBSERVATION_COUNT,,,,1,125,0.8,,,FAILED_BREAKOUT,COUNTERTREND_FAILED_AUCTION,INELIGIBLE,1,,
__ALL__,CANDIDATE_OBSERVATION_COUNT,,,,2,125,1.6,,,FAILED_BREAKOUT,COUNTERTREND_FAILED_AUCTION,WATCH,1,,
__ALL__,CANDIDATE_OBSERVATION_COUNT,,,,1,125,0.8,,,FAILED_BREAKOUT,TREND_ALIGNED_FAILED_AUCTION,INELIGIBLE,1,,
__ALL__,CANDIDATE_OBSERVATION_COUNT,,,,5,125,4.0,,,FAILED_BREAKOUT,TREND_ALIGNED_FAILED_AUCTION,WATCH,1,,
COFORGE,OPERATIONAL_OPPORTUNITY_COUNT,,,,1,125,,,,MULTI_INTERPRETATION_GROUP,,ELIGIBLE,3,1,3
COFORGE,OPERATIONAL_OPPORTUNITY_COUNT,,,,8,125,,,,MULTI_INTERPRETATION_GROUP,,WATCH,16,8,16
__ALL__,OPERATIONAL_OPPORTUNITY_COUNT,,,,1,125,,,,MULTI_INTERPRETATION_GROUP,,ELIGIBLE,3,1,3
__ALL__,OPERATIONAL_OPPORTUNITY_COUNT,,,,8,125,,,,MULTI_INTERPRETATION_GROUP,,WATCH,16,8,16
